Month,Total,,,Month1,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19
Oct-20,"28,236,193",,,Total count of appointments,"28,236,193","26,659,801","20,117,266","22,449,024","20,659,736","16,396,370","15,981,868","24,006,576","24,057,996","27,148,614","23,561,683","26,758,647","30,003,208"
Sep-20,"26,659,801",,,,,,,,,,,,,,,,
Aug-20,"20,117,266",,,,,,,,,,,,,,,,
Jul-20,"22,449,024",,,,,,,,,,,,,,,,
Jun-20,"20,659,736",,,,,,,,,,,,,,,,
May-20,"16,396,370",,,,,,,,,,,,,,,,
Apr-20,"15,981,868",,,,,,,,,,,,,,,,
Mar-20,"24,006,576",,,,,,,,,,,,,,,,
Feb-20,"24,057,996",,,,,,,,,,,,,,,,
Jan-20,"27,148,614",,,,,,,,,,,,,,,,
Dec-19,"23,561,683",,,,,,,,,,,,,,,,
Nov-19,"26,758,647",,,,,,,,,,,,,,,,
Oct-19,"30,003,208",,,,,,,,,,,,,,,,
